School name,2023 Enrolment Pressure (EPI),School Type,Suburb,LGA,Education Sector,Estimated no. Enrolments,Full Capacity (100% EPI),Spare Capacity,Note
Elmore Primary School,40%,Primary,Elmore,Greater Bendigo (C),Government,30,75,45,
Maroona Primary School,40%,Primary,Maroona,Ararat (RC),Government,30,75,45,
Talbot Primary School,40%,Primary,Talbot,Central Goldfields (S),Government,30,75,45,
Metung Primary School,40%,Primary,Metung,East Gippsland (S),Government,30,75,45,
Milawa Primary School,40%,Primary,Milawa,Wangaratta (RC),Government,60,151,90,
Pembroke Primary School,40%,Primary,Mooroolbark,Yarra Ranges (S),Government,71,178,107,
Bundarra Primary School,40%,Primary,Portland,Glenelg (S),Government,109,273,164,
Dimboola Memorial Secondary College,40%,Secondary,Dimboola,Hindmarsh (S),Government,129,323,194,
Parkhill Primary School,40%,Primary,Ashwood,Monash (C),Government,179,449,269,
Terang College,40%,Pri/Sec,Terang,Corangamite (S),Government,255,637,382,
Westall Primary School,40%,Primary,Clayton South,Kingston (C),Government,237,592,355,
Benalla P-12 College,40%,Pri/Sec,Benalla,Benalla (RC),Government,773,1931,1159,
Beeac Primary School,39%,Primary,Beeac,Colac-Otway (S),Government,29,74,45,
Waubra Primary School,39%,Primary,Waubra,Pyrenees (S),Government,49,126,77,
Meredith Primary School,39%,Primary,Meredith,Golden Plains (S),Government,59,151,92,
Napoleons Primary School,39%,Primary,Napoleons,Golden Plains (S),Government,77,198,121,
Stawell West Primary School,39%,Primary,Stawell,Northern Grampians (S),Government,87,223,136,
Kerang South Primary School,39%,Primary,Kerang,Gannawarra (S),Government,107,274,167,
Cohuna Secondary College,39%,Secondary,Cohuna,Gannawarra (S),Government,186,478,292,
Karingal Primary School,39%,Primary,Frankston,Frankston (C),Government,225,577,352,
Wooranna Park Primary School,39%,Primary,Dandenong,Greater Dandenong (C),Government,264,677,413,
Willowbank Primary School,39%,Primary,Willow Grove,Baw Baw (S),Government,194,497,303,
Epping Primary School,39%,Primary,Epping,Whittlesea (C),Government,354,907,553,
Homestead Senior Secondary College,39%,Secondary,Point Cook,Wyndham (C),Government,364,933,569,
Tempy Primary School,38%,Primary,Tempy,Yarriambiack (S),Government,19,50,31,
Bungaree Primary School,38%,Primary,Bungaree,Moorabool (S),Government,19,50,31,
Lal Lal Primary School,38%,Primary,Lal Lal,Moorabool (S),Government,38,99,61,
Wallaroo Primary School,38%,Primary,Hastings,Mornington Peninsula (S),Government,97,255,158,
Paynesville Primary School,38%,Primary,Paynesville,East Gippsland (S),Government,115,303,188,
Bayswater Primary School,38%,Primary,Bayswater,Knox (C),Government,124,326,202,
Somerville Rise Primary School,38%,Primary,Somerville,Mornington Peninsula (S),Government,150,395,245,
Warrandyte High School,38%,Secondary,Warrandyte,Manningham (C),Government,301,793,492,
Seymour College,38%,Pri/Sec,Seymour,Mitchell (S),Government,680,1789,1109,
Bayside P-12 College,38%,Pri/Sec,Williamstown,Hobsons Bay (C),Government,1047,2755,1708,
Greta Valley Primary School,37%,Primary,Greta South,Wangaratta (RC),Government,28,76,48,
Macarthur Primary School,37%,Primary,Macarthur,Moyne (S),Government,37,100,63,
Yinnar South Primary School,37%,Primary,Yinnar South,Latrobe (C),Government,27,73,46,
Derrinallum P-12 College,37%,Pri/Sec,Derrinallum,Corangamite (S),Government,83,225,142,
Swifts Creek P-12 School,37%,Pri/Sec,Swifts Creek,East Gippsland (S),Government,91,245,154,
Fairhills Primary School,37%,Primary,Ferntree Gully,Knox (C),Government,151,408,257,
Kingsbury Primary School,37%,Primary,Kingsbury,Darebin (C),Government,118,319,201,
Yarrunga Primary School,37%,Primary,Wangaratta,Wangaratta (RC),Government,140,378,238,
Nathalia Primary School,37%,Primary,Nathalia,Moira (S),Government,137,370,233,
Rushworth P-12 College,37%,Pri/Sec,Rushworth,Campaspe (S),Government,148,399,251,
Kaniva College,37%,Pri/Sec,Kaniva,West Wimmera (S),Government,157,424,267,
Warracknabeal Secondary College,37%,Secondary,Warracknabeal,Yarriambiack (S),Government,190,513,323,
Scoresby Secondary College,37%,Secondary,Scoresby,Knox (C),Government,250,676,426,
Spring Parks Primary School,37%,Primary,Springvale,Greater Dandenong (C),Government,245,662,417,
Nearnung Primary School,37%,Primary,GROVEDALE,Greater Geelong (C),Catholic,196,530,334,
Quarters Primary School,37%,Primary,Quarry Hill,Greater Bendigo (C),Government,226,610,384,
Melba Secondary College,37%,Secondary,Croydon,Maroondah (C),Government,659,1780,1121,
Ellinbank Primary School,36%,Primary,Ellinbank,Baw Baw (S),Government,27,75,48,
Tawonga Primary School,36%,Primary,Tawonga,Alpine (S),Government,45,125,80,
Goroke P-12 College,36%,Pri/Sec,Goroke,West Wimmera (S),Government,80,223,143,
Swifts Creek P-12 School,36%,Pri/Sec,Swifts Creek,East Gippsland (S),Government,91,252,161,
Sherbrooke Community School,36%,Pri/Sec,Sassafras,Yarra Ranges (S),Government,117,325,208,
Casterton Primary School,36%,Primary,Casterton,Glenelg (S),Government,108,301,193,
Newcomb Primary School,36%,Primary,Newcomb,Greater Geelong (C),Government,100,278,178,
Healesville Primary School,36%,Primary,Healesville,Yarra Ranges (S),Government,197,547,350,
Beechworth Secondary College,36%,Secondary,Beechworth,Indigo (S),Government,236,656,420,
Edenbrook Secondary College,36%,Secondary,Pakenham,Cardinia (S),Government,374,1039,665,
Wangaratta High School,36%,Secondary,Wangaratta,Wangaratta (RC),Government,608,1690,1081,
Beverford District Primary School,35%,Primary,Beverford,Swan Hill (RC),Government,35,100,65,
Bolwarra Primary School,35%,Primary,Bolwarra,Glenelg (S),Government,52,149,97,
Lancaster Primary School,35%,Primary,Lancaster,Campaspe (S),Government,35,100,65,
Ripplebrook Primary School,35%,Primary,Ripplebrook,Baw Baw (S),Government,26,74,48,
Sebastopol Primary School,35%,Primary,Sebastopol,Ballarat (C),Government,87,249,162,
Hawkesdale P12 College,35%,Pri/Sec,Hawkesdale,Moyne (S),Government,160,456,296,
Frankston East Primary School,35%,Primary,Frankston,Frankston (C),Government,147,420,273,
Monmia Primary School,35%,Primary,Keilor Downs,Brimbank (C),Government,192,549,357,
Appin Park Primary School,35%,Primary,Wangaratta,Wangaratta (RC),Government,159,455,296,
Mortlake P-12 College,35%,Pri/Sec,Mortlake,Moyne (S),Government,183,522,339,
Robinvale College,35%,Pri/Sec,Robinvale,Swan Hill (RC),Government,256,730,475,
Wangala Primary School,34%,Primary,Wandong,Mitchell (S),Government,67,197,130,
Kallista Primary School,34%,Primary,Kallista,Yarra Ranges (S),Government,94,276,182,
Bayswater Secondary College,34%,Secondary,Bayswater,Knox (C),Government,174,512,338,
Buangor Primary School,33%,Primary,Buangor,Ararat (RC),Government,25,76,51,
Eskdale Primary School,33%,Primary,Eskdale,Towong (S),Government,25,76,51,
Werrimull P-12 School,33%,Pri/Sec,Werrimull,Mildura (RC),Government,33,100,67,
Katamatite Primary School,33%,Primary,Katamatite,Moira (S),Government,41,124,83,
Tarwin Lower Primary School,33%,Primary,Tarwin Lower,South Gippsland (S),Government,33,100,67,
Nangiloc Colignan and District Primary School,33%,Primary,Nangiloc,Mildura (RC),Government,41,124,83,
Creswick North Primary School,33%,Primary,Creswick,Hepburn (S),Government,41,124,83,
Chiltern Primary School,33%,Primary,Chiltern,Indigo (S),Government,50,152,102,
Lake Bolac College,33%,Pri/Sec,Lake Bolac,Ararat (RC),Government,91,276,185,
Wonthaggi North Primary School,33%,Primary,Wonthaggi,Bass Coast (S),Government,157,476,319,
Linton Primary School,32%,Primary,Linton,Golden Plains (S),Government,16,50,34,
Buchan Primary School,32%,Primary,Buchan,East Gippsland (S),Government,24,75,51,
Casterton Secondary College,32%,Secondary,Casterton,Glenelg (S),Government,120,375,255,
Bayside P-12 College,32%,Pri/Sec,Williamstown,Hobsons Bay (C),Government,1047,3272,2225,
Christmas Hills Primary School,31%,Primary,Christmas Hills,Nillumbik (S),Government,23,75,52,
Toolangi Primary School,31%,Primary,Toolangi,Murrindindi (S),Government,23,74,51,
Natimuk Primary School,31%,Primary,Natimuk,Horsham (RC),Government,31,100,69,
Elphinstone Primary School,31%,Primary,Elphinstone,Mount Alexander (S),Government,23,74,51,
Lavers Hill K-12 College,31%,Pri/Sec,Lavers Hill,Colac-Otway (S),Government,54,174,120,
Warburton Primary School,31%,Primary,Warburton,Yarra Ranges (S),Government,47,152,105,
Wycheproof P-12 College,31%,Pri/Sec,Wycheproof,Buloke (S),Government,92,295,204,
Clayton South Primary School,31%,Primary,Clayton South,Kingston (C),Government,104,335,231,
Donald High School,31%,Secondary,Donald,Buloke (S),Government,102,330,227,
Corryong College,31%,Pri/Sec,Corryong,Towong (S),Government,267,861,594,
Mitta Mitta Primary School,30%,Primary,Mitta Mitta,Towong (S),Government,15,50,35,
Penshurst Primary School,30%,Primary,Penshurst,Southern Grampians (S),Government,15,50,35,
Mooroopna North Primary School,30%,Primary,Mooroopna,Greater Shepparton (C),Government,30,100,70,
Omeo Primary School,30%,Primary,Omeo,East Gippsland (S),Government,37,123,86,
Simpson Primary School,30%,Primary,Simpson,Corangamite (S),Government,53,176,123,
Winters Flat Primary School,30%,Primary,Castlemaine,Mount Alexander (S),Government,106,353,247,
Charlton College,30%,Pri/Sec,Charlton,Buloke (S),Government,133,443,310,
St Arnaud Secondary College,30%,Secondary,St Arnaud,Northern Grampians (S),Government,141,469,328,
Deanside Primary School,30%,Primary,Deans Marsh,Surf Coast (S),Government,166,553,387,
Yarra Hills Secondary College,30%,Secondary,Mooroolbark,Yarra Ranges (S),Government,667,2223,1556,
Bullarto Primary School,29%,Primary,Bullarto,Hepburn (S),Government,22,76,54,
Cann River P-12 College,29%,Pri/Sec,Cann River,East Gippsland (S),Government,43,148,105,
Powlett River Primary School,29%,Primary,Dalyston,Bass Coast (S),Government,44,152,108,
Bittern Primary School,29%,Primary,Bittern,Mornington Peninsula (S),Government,73,252,179,
Cape Clear Primary School,28%,Primary,Cape Clear,Golden Plains (S),Government,21,75,54,
Shelford Primary School,28%,Primary,Shelford,Golden Plains (S),Government,14,50,36,
Moonambel Primary School,28%,Primary,Moonambel,Pyrenees (S),Government,14,50,36,
Tarnagulla Primary School,28%,Primary,Tarnagulla,Loddon (S),Government,21,75,54,
Kongwak Primary School,28%,Primary,Kongwak,South Gippsland (S),Government,28,100,72,
Whorouly Primary School,28%,Primary,Whorouly,Wangaratta (RC),Government,28,100,72,
Eildon Primary School,28%,Primary,Eildon,Murrindindi (S),Government,35,125,90,
Bethanga Primary School,28%,Primary,Bethanga,Towong (S),Government,35,125,90,
Gormandale And District Primary School,28%,Primary,Gormandale,Wellington (S),Government,42,150,108,
Mallacoota P-12 College,28%,Pri/Sec,Mallacoota,East Gippsland (S),Government,117,418,301,
Benalla P-12 College,28%,Pri/Sec,Benalla,Benalla (RC),Government,773,2759,1986,
Redesdale Mia Mia Primary School,27%,Primary,Redesdale,Greater Bendigo (C),Government,14,50,37,
Warrenheip Primary School,27%,Primary,Warrenheip,Ballarat (C),Government,27,100,73,
Bundalaguah Primary School,27%,Primary,Bundalaguah,Wellington (S),Government,27,100,73,
St Andrews Primary School,27%,Primary,St Andrews,Nillumbik (S),Catholic,41,152,111,
Carraragarmungee Primary School,27%,Primary,Londrigan,Wangaratta (RC),Government,27,100,73,
Whitfield District Primary School,27%,Primary,Whitfield,Wangaratta (RC),Government,34,126,92,
Nyora Primary School,27%,Primary,Nyora,South Gippsland (S),Government,40,148,108,
Thorpdale Primary School,27%,Primary,Thorpdale,Baw Baw (S),Government,41,152,111,
Sherbourne Primary School,27%,Primary,Briar Hill,Banyule (C),Government,101,374,273,
Waverley Meadows Primary School,27%,Primary,Wheelers Hill,Monash (C),Government,110,406,296,
Kurrun Primary School,27%,Secondary,Morwell,Latrobe (C),Government,111,410,299,
Healesville High School,27%,Secondary,Healesville,Yarra Ranges (S),Government,336,1243,907,
Branxholme-Wallacedale Community School,26%,Primary,Branxholme,Southern Grampians (S),Government,13,50,37,
Landsborough Primary School,26%,Primary,Landsborough,Pyrenees (S),Government,13,50,37,
Amphitheatre Primary School,26%,Primary,Amphitheatre,Pyrenees (S),Government,13,50,37,
Willowmavin Primary School,26%,Primary,Willowmavin,Mitchell (S),Government,45,173,128,
Stratford Primary School,26%,Primary,Stratford,Wellington (S),Government,79,305,226,
Araluen Primary School,26%,Primary,Sale,Wellington (S),Government,99,381,282,
Edenhope College,26%,Pri/Sec,Edenhope,West Wimmera (S),Government,115,443,328,
Campbells Creek Primary School,26%,Primary,Campbells Creek,Mount Alexander (S),Government,165,635,470,
Barrawang Primary School,26%,Primary,Barnawartha,Indigo (S),Government,151,581,430,
Cowwarr Primary School,25%,Primary,Cowwarr,Wellington (S),Government,19,76,57,
Apsley Primary School,25%,Primary,Apsley,West Wimmera (S),Government,25,98,74,
Manangatang P-12 College,25%,Pri/Sec,Manangatang,Swan Hill (RC),Government,62,247,185,
Karingal Heights Primary School,25%,Primary,Frankston,Frankston (C),Government,81,324,243,
Lollypop Creek Primary School,25%,Primary,Lockwood South,Greater Bendigo (C),Government,132,528,396,
Orbost North Primary School,25%,Primary,Orbost,East Gippsland (S),Government,25,100,75,
Carlisle River Primary School,24%,Primary,Carlisle River,Colac-Otway (S),Government,6,25,19,
Walwa Primary School,24%,Primary,Walwa,Towong (S),Government,12,50,38,
Undera Primary School,24%,Primary,Undera,Greater Shepparton (C),Government,18,75,57,
Lindenow South Primary School,24%,Primary,Lindenow South,East Gippsland (S),Government,12,50,38,
Rupanyup Primary School,24%,Primary,Rupanyup,Yarriambiack (S),Government,18,75,57,
Yandoit Primary School,24%,Primary,Yandoit,Hepburn (S),Government,12,49,37,
Beulah Primary School,24%,Primary,Beulah,Yarriambiack (S),Government,18,75,57,
Osbornes Flat Primary School,24%,Primary,Osbornes Flat,Indigo (S),Government,24,100,76,
Ararat North Primary School,24%,Primary,Ararat,Ararat (RC),Government,37,154,117,
Millwarra Primary School,24%,Primary,Millgrove,Yarra Ranges (S),Government,70,292,222,
Balmoral K-12 Community College,24%,Pri/Sec,Balmoral,Southern Grampians (S),Government,83,345,262,
Dartmoor Primary School,23%,Primary,Dartmoor,Glenelg (S),Government,17,74,57,
Bridgewater Primary School,23%,Primary,Bridgewater On Loddon,Loddon (S),Government,11,50,38,
Girgarre Primary School,23%,Primary,Girgarre,Campaspe (S),Government,23,100,77,
Moe Primary School,23%,Primary,Moe,Latrobe (C),Government,75,326,251,
Ainslie Parklands Primary School,23%,Primary,Croydon,Maroondah (C),Government,94,409,315,
Carlton Primary School,23%,Primary,Carlton,Melbourne (C),Government,117,509,392,
Donnybrook Primary School,23%,Secondary,Doncaster,Manningham (C),Government,123,535,412,
Jamieson Primary School,22%,Primary,Jamieson,Mansfield (S),Government,11,50,39,
Tallarook Primary School,22%,Primary,Tallarook,Mitchell (S),Government,22,100,78,
Don Valley Primary School,22%,Primary,Don Valley,Yarra Ranges (S),Government,33,150,117,
Wantirna Primary School,22%,Primary,Wantirna,Knox (C),Government,40,182,142,
Cobden Technical School,22%,Secondary,Cobden,Corangamite (S),Government,108,490,382,
Tooborac Primary School,22%,Primary,Tooborac,Mitchell (S),Government,11,50,39,
Mickleham Secondary College,22%,Primary,Mickleham,Hume (C),Government,114,518,404,
Wunghnu Primary School,21%,Primary,Wunghnu,Moira (S),Government,21,100,79,
Coleraine Primary School,21%,Primary,Coleraine,Southern Grampians (S),Government,37,176,139,
Gladesville Primary School,21%,Primary,Kilsyth,Yarra Ranges (S),Government,75,357,282,
Lismore Primary School,20%,Primary,Lismore,Corangamite (S),Government,25,125,100,
Boolarra Primary School,20%,Primary,Boolarra,Latrobe (C),Government,40,200,160,
Flowerdale Primary School,20%,Primary,Flowerdale,Murrindindi (S),Government,30,150,120,
Upper Ferntree Gully Primary School,20%,Primary,Upper Ferntree Gully,Knox (C),Government,69,345,276,
Loch Sport Primary School,19%,Primary,Loch Sport,Wellington (S),Government,14,74,60,
Nanneella Estate Primary School,19%,Primary,Nanneella,Campaspe (S),Government,14,74,60,
Sassafras Primary School,19%,Primary,Sassafras,Yarra Ranges (S),Government,42,221,179,
Peranbin Primary College,19%,Primary,Violet Town,Strathbogie (S),Government,58,305,247,
Navarre Primary School,18%,Primary,Navarre,Northern Grampians (S),Government,9,51,41,
Glen Park Primary School,18%,Primary,Glen Park,Moorabool (S),Government,9,50,41,
Dederang Primary School,18%,Primary,Dederang,Alpine (S),Government,18,100,82,
Seaspray Primary School,18%,Primary,Seaspray,Wellington (S),Government,9,50,41,
Port Melbourne Secondary College,18%,Primary,Port Melbourne,Port Phillip (C),Government,196,1087,891,
Willaura Primary School,17%,Primary,Willaura,Ararat (RC),Government,17,100,83,
Merrigum Primary School,17%,Primary,Merrigum,Greater Shepparton (C),Government,17,100,83,
Merrijig Primary School,17%,Primary,Merrijig,Mansfield (S),Government,26,154,128,
Millwarra Primary School,17%,Primary,Millgrove,Yarra Ranges (S),Government,70,412,342,
Debney Meadows Primary School,17%,Primary,Flemington,Moonee Valley (C),Government,84,494,410,
Raywood Primary School,16%,Primary,Raywood,Greater Bendigo (C),Government,12,75,63,
Harston Primary School,16%,Primary,Tatura,Greater Shepparton (C),Government,8,49,41,
Zeerust Primary School,16%,Primary,Zeerust,Greater Shepparton (C),Government,11,69,58,
Currawa Primary School,16%,Primary,Dookie Campus,Greater Shepparton (C),Government,8,50,42,
Heywood District Secondary College,16%,Secondary,Heywood,Glenelg (S),Government,73,456,383,
Broken Creek Primary School,15%,Primary,Broken Creek,Benalla (RC),Government,11,73,62,
Tanjil South Primary School,15%,Primary,Tanjil South,Baw Baw (S),Government,11,75,63,
Silvan Primary School,15%,Primary,Silvan,Yarra Ranges (S),Government,23,153,130,
Middle Indigo Primary School,15%,Primary,Indigo Valley,Indigo (S),Government,23,153,130,
Buxton Primary School,15%,Primary,Buxton,Murrindindi (S),Government,15,103,87,
Peranbin Primary College,15%,Primary,Violet Town,Strathbogie (S),Government,58,387,329,
Knox Central Primary School,15%,Primary,Boronia,Knox (C),Government,73,487,414,
Marnoo Primary School,14%,Primary,Marnoo,Northern Grampians (S),Government,7,50,43,
Springhurst Primary School,14%,Primary,Springhurst,Wangaratta (RC),Government,14,100,86,
Perseverance Primary School,14%,Primary,French Island,Unincorporated Vic,Government,7,50,43,
Lemnos Primary School,14%,Primary,Lemnos,Greater Shepparton (C),Government,14,100,86,
Dookie Primary School,13%,Primary,Dookie,Greater Shepparton (C),Government,13,100,87,
Natte Yallock Primary School,12%,Primary,Natte Yallock,Pyrenees (S),Government,3,25,22,
Trawalla Primary School,12%,Primary,Trawalla,Pyrenees (S),Government,6,50,44,
Falls Creek Primary School,11%,Primary,Falls Creek,Unincorporated Vic,Government,8,73,65,
Noorat Primary School,11%,Primary,Noorat,Corangamite (S),Government,11,100,89,
Boronia West Primary School,11%,Primary,Boronia,Knox (C),Government,48,436,388,
Peranbin Primary College,11%,Primary,Violet Town,Strathbogie (S),Government,58,527,469,
Carrington Primary School,11%,Primary,Knoxfield,Knox (C),Government,58,527,469,
Essendon Keilor College,11%,Secondary,Keilor East,Moonee Valley (C),Government,636,5782,5146,EPI or enrollment data is likely wrong
Victoria University Secondary College,11%,Secondary,St Albans,Brimbank (C),Government,1094,9945,8851,EPI or enrollment data is likely wrong
Olinda Primary School,10%,Primary,Olinda,Yarra Ranges (S),Government,14,144,130,
Moyhu Primary School,9%,Primary,Moyhu,Wangaratta (RC),Government,13,144,131,
Ardmona Primary School,9%,Primary,Ardmona,Greater Shepparton (C),Government,11,122,111,
Gladysdale Primary School,9%,Primary,Gladysdale,Yarra Ranges (S),Government,21,233,212,
Peranbin Primary College,9%,Primary,Violet Town,Strathbogie (S),Government,58,644,586,
Bealiba Primary School,8%,Primary,Bealiba,Central Goldfields (S),Government,4,50,46,
Yering Primary School,8%,Primary,Yering,Yarra Ranges (S),Government,6,75,69,
Merino Consolidated School,8%,Primary,Merino,Glenelg (S),Government,6,75,69,
Hoddles Creek Primary School,7%,Primary,Hoddles Creek,Yarra Ranges (S),Government,7,100,93,
Everton Primary School,7%,Primary,Everton,Wangaratta (RC),Government,7,103,96,
Wollert Secondary College,7%,Primary,Wodonga,Wodonga (C),Government,47,671,624,
Dhurringile Primary School,6%,Primary,Dhurringile,Greater Shepparton (C),Government,3,50,47,
Leitchville Primary School,6%,Primary,Leitchville,Gannawarra (S),Government,6,100,94,
Stanhope Primary School,6%,Primary,Stanhope,Campaspe (S),Government,7,117,110,
Langley Primary School,5%,Primary,Langley,Mount Alexander (S),Government,4,80,76,
Panmure Primary School,4%,Primary,Panmure,Moyne (S),Government,4,100,96,
Devenish Primary School,4%,Primary,Devenish,Benalla (RC),Government,1,25,24,
Edi Upper Primary School,3%,Primary,Edi Upper,Wangaratta (RC),Government,5,167,162,
Winton Primary School,3%,Primary,Winton,Benalla (RC),Government,4,133,129,
Rawson Primary School,3%,Primary,Rawson,Baw Baw (S),Government,4,133,129,
Ultima Primary School,3%,Primary,Ultima,Swan Hill (RC),Government,2,67,65,EPI or enrollment data is likely wrong
